timestamp_machine,timestamp_google,rr,device,dateTime
1646146460458,1646146460441,755,ED:68:09:2B:C6:5F,2022-03-01 15:54:20
1646146461393,1646146461377,760,ED:68:09:2B:C6:5F,2022-03-01 15:54:21
1646146462417,1646146462400,747,ED:68:09:2B:C6:5F,2022-03-01 15:54:22
1646146463434,1646146463417,740,ED:68:09:2B:C6:5F,2022-03-01 15:54:23
1646146463434,1646146463417,744,ED:68:09:2B:C6:5F,2022-03-01 15:54:23
1646146464393,1646146464376,751,ED:68:09:2B:C6:5F,2022-03-01 15:54:24
1646146465822,1646146465805,756,ED:68:09:2B:C6:5F,2022-03-01 15:54:25
1646146466820,1646146466804,759,ED:68:09:2B:C6:5F,2022-03-01 15:54:26
1646146466820,1646146466804,764,ED:68:09:2B:C6:5F,2022-03-01 15:54:26
1646146468829,1646146468795,759,ED:68:09:2B:C6:5F,2022-03-01 15:54:28
1646146468856,1646146468823,768,ED:68:09:2B:C6:5F,2022-03-01 15:54:28
1646146469855,1646146469839,771,ED:68:09:2B:C6:5F,2022-03-01 15:54:29
1646146469855,1646146469839,772,ED:68:09:2B:C6:5F,2022-03-01 15:54:29
1646146470827,1646146470796,775,ED:68:09:2B:C6:5F,2022-03-01 15:54:30
1646146471802,1646146471786,772,ED:68:09:2B:C6:5F,2022-03-01 15:54:31
1646146472854,1646146472783,783,ED:68:09:2B:C6:5F,2022-03-01 15:54:32
1646146472854,1646146472783,788,ED:68:09:2B:C6:5F,2022-03-01 15:54:32
1646146473798,1646146473782,792,ED:68:09:2B:C6:5F,2022-03-01 15:54:33
1646146474800,1646146474783,791,ED:68:09:2B:C6:5F,2022-03-01 15:54:34
1646146475799,1646146475783,780,ED:68:09:2B:C6:5F,2022-03-01 15:54:35
1646146475799,1646146475783,767,ED:68:09:2B:C6:5F,2022-03-01 15:54:35
1646146479862,1646146479845,776,ED:68:09:2B:C6:5F,2022-03-01 15:54:39
1646146480781,1646146480764,771,ED:68:09:2B:C6:5F,2022-03-01 15:54:40
1646146480791,1646146480774,784,ED:68:09:2B:C6:5F,2022-03-01 15:54:40
1646146480800,1646146480783,783,ED:68:09:2B:C6:5F,2022-03-01 15:54:40
1646146480800,1646146480783,776,ED:68:09:2B:C6:5F,2022-03-01 15:54:40
1646146481778,1646146481761,771,ED:68:09:2B:C6:5F,2022-03-01 15:54:41
1646146481788,1646146481771,776,ED:68:09:2B:C6:5F,2022-03-01 15:54:41
1646146482775,1646146482758,775,ED:68:09:2B:C6:5F,2022-03-01 15:54:42
1646146482775,1646146482758,776,ED:68:09:2B:C6:5F,2022-03-01 15:54:42
1646146484774,1646146484758,771,ED:68:09:2B:C6:5F,2022-03-01 15:54:44
1646146484784,1646146484768,776,ED:68:09:2B:C6:5F,2022-03-01 15:54:44
1646146485769,1646146485753,787,ED:68:09:2B:C6:5F,2022-03-01 15:54:45
1646146485769,1646146485753,780,ED:68:09:2B:C6:5F,2022-03-01 15:54:45
1646146487763,1646146487746,776,ED:68:09:2B:C6:5F,2022-03-01 15:54:47
1646146488763,1646146488746,767,ED:68:09:2B:C6:5F,2022-03-01 15:54:48
1646146488777,1646146488760,776,ED:68:09:2B:C6:5F,2022-03-01 15:54:48
1646146488777,1646146488760,779,ED:68:09:2B:C6:5F,2022-03-01 15:54:48
1646146489759,1646146489742,780,ED:68:09:2B:C6:5F,2022-03-01 15:54:49
1646146490769,1646146490740,787,ED:68:09:2B:C6:5F,2022-03-01 15:54:50
1646146491753,1646146491736,784,ED:68:09:2B:C6:5F,2022-03-01 15:54:51
1646146491753,1646146491736,775,ED:68:09:2B:C6:5F,2022-03-01 15:54:51
1646146492756,1646146492739,784,ED:68:09:2B:C6:5F,2022-03-01 15:54:52
1646146494747,1646146494730,783,ED:68:09:2B:C6:5F,2022-03-01 15:54:54
1646146494757,1646146494741,784,ED:68:09:2B:C6:5F,2022-03-01 15:54:54
1646146494757,1646146494741,783,ED:68:09:2B:C6:5F,2022-03-01 15:54:54
1646146497800,1646146497783,792,ED:68:09:2B:C6:5F,2022-03-01 15:54:57
1646146497815,1646146497798,783,ED:68:09:2B:C6:5F,2022-03-01 15:54:57
1646146497824,1646146497808,788,ED:68:09:2B:C6:5F,2022-03-01 15:54:57
1646146498739,1646146498723,787,ED:68:09:2B:C6:5F,2022-03-01 15:54:58
1646146498739,1646146498723,784,ED:68:09:2B:C6:5F,2022-03-01 15:54:58
1646146499734,1646146499716,776,ED:68:09:2B:C6:5F,2022-03-01 15:54:59
1646146502788,1646146502771,775,ED:68:09:2B:C6:5F,2022-03-01 15:55:02
1646146505780,1646146505764,772,ED:68:09:2B:C6:5F,2022-03-01 15:55:05
1646146505780,1646146505764,775,ED:68:09:2B:C6:5F,2022-03-01 15:55:05
1646146505796,1646146505779,784,ED:68:09:2B:C6:5F,2022-03-01 15:55:05
